CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Occupation,RealisticSalary
751,Germany,Female,36,6,169831.46,2,1,1,0,Supervising Pharmacist,158370.01517910755
581,Germany,Female,34,1,101633.04,1,1,0,0,Special Assistant 10,105115.52775101925
735,Germany,Male,43,10,123180.01,2,1,1,0,"INVESTIGATOR, BUREAU OF FIRE INVESTIGATION",164748.28997411946
661,Germany,Female,35,5,150725.53,2,0,1,0,Court Supervisor II,139273.7327794216
675,France,Female,21,8,98373.26,1,1,0,0,"Attorney, Tax Collector",127797.79914553427
738,Germany,Male,58,2,133745.44,4,1,0,1,Fire Alarm Dispatcher,139089.46207616152
813,France,Male,29,6,0.0,1,1,0,0,Cement Finisher Supervisor 1,121378.18181818182
657,Spain,Female,37,0,163607.18,1,0,1,0,Pilot of Fire Boats,125965.17149891415
604,Germany,Female,25,5,157780.84,2,1,1,0,Airport Property Specialist 1,129575.4915563164
519,France,Male,36,9,0.0,2,0,1,0,AIRPORT COMMUNICATIONS OPERATOR,99734.54545454546
735,France,Female,21,1,178718.19,2,1,0,0,Senior Estate Investigator,140847.92323738802
664,France,Male,55,8,0.0,2,1,1,0,PARTS STOREKEEPER,127680.0
678,France,Female,32,9,0.0,1,1,1,0,SENIOR CLAIMS INVESTIGATOR,115541.81818181819
757,Spain,Male,33,5,77253.22,1,0,1,0,Dist Atty Investigator (SFERS),132314.40608256526
416,Germany,Female,41,10,122189.66,2,1,0,0,"BdComm Mbr, Grp2,M=$25/Mtg",124413.2749460874
665,France,Female,34,1,96645.54,2,0,0,0,SENIOR STATIONARY ENGINEER,114002.81241388776
777,France,Female,32,2,0.0,1,1,0,1,Senior Pharmacy Helper,107058.18181818182
543,France,Female,36,3,0.0,2,0,0,0,PERFORMING ARTS CENTER AIDE,82978.18181818182
506,France,Female,34,4,90307.62,1,1,1,0,GARDENER,102679.88366866767
493,France,Female,46,4,0.0,2,1,0,0,Soft Floor Coverer,83887.27272727272
652,Spain,Female,75,10,0.0,2,1,1,0,WINDOW CLEANER,154421.81818181818
750,Spain,Male,22,3,121681.82,1,1,0,1,Sen Hospital Eligibility Wrkr,133099.10234868666
729,France,Male,30,9,0.0,2,1,0,0,Junior Management Assistant,120025.45454545454
646,France,Female,46,4,0.0,3,1,0,1,Pr Fare Collections Receiver,102247.27272727272
635,Germany,Female,28,3,81623.67,2,1,1,0,DIETETIC TECHNICIAN,111355.92315154368
647,Spain,Female,44,5,0.0,3,1,1,1,Planner 3,105640.0
808,France,Male,45,7,118626.55,2,1,0,0,BARBER,161964.82590724024
524,France,Female,36,10,0.0,2,1,0,0,GARDENER,103607.27272727274
769,France,Male,29,8,0.0,2,1,1,0,GENERAL LABORER SUPERVISOR I,121370.90909090909
730,Spain,Male,42,4,0.0,2,0,1,0,ENVIRONMENTAL HEALTH TECHNICIAN I,110872.72727272726
515,Spain,Male,35,10,176273.95,1,0,1,0,MANAGER I - MUNICIPAL TRANSPORTATION AGENCY,143772.49634484883
773,Spain,Male,41,9,102827.44,1,0,1,0,CONSTRUCTION INSPECTOR,158895.703120085
814,Germany,Male,29,8,97086.4,2,1,1,0,ASSISTANT RECREATION SUPERVISOR,149988.240079758
710,Spain,Male,22,8,0.0,2,0,0,0,Research Assistant,109200.0
413,France,Male,34,9,0.0,2,0,0,0,Training Coordinator,85378.18181818182
665,France,Female,40,6,0.0,1,1,1,0,SENIOR MORGUE ATTENDANT,109618.18181818182
623,France,Female,44,6,0.0,2,0,0,0,SENIOR CLERK,106760.0
738,France,Male,31,9,82674.15,1,1,0,0,TESTING TECHNICIAN,141694.40863216977
528,Spain,Male,36,7,0.0,2,1,0,0,PROJECT MANAGER IV,94269.09090909091
670,Spain,Female,65,1,0.0,1,1,1,1,Clerk Typist,94309.09090909091
622,Spain,Female,46,4,107073.27,2,1,1,1,Sewer Maintenance Worker,124972.87299310177
582,Germany,Male,32,1,88938.62,1,1,1,0,Chief Dietitian,102017.95429501784
785,Germany,Female,36,2,99806.85,1,0,1,0,STREET INSPECTOR,132613.356449371
605,Spain,Male,33,5,150092.8,1,0,0,0,Executive Contract Employee,131493.3302361927
479,Germany,Male,35,9,92833.89,1,1,0,1,Transit Operations Specialist,116316.74547267017
685,Germany,Male,30,3,90536.81,1,0,1,0,IS Trainer-Journey,120032.8741942414
538,Germany,Male,39,7,108055.1,2,1,0,0,Nursery Specialist,123218.57781322507
562,France,Male,42,2,100238.35,1,0,0,0,Welfare Fraud Investigator,107047.4548471417
675,Spain,Male,36,9,106190.55,1,0,1,0,HOSPITAL ELIGIBILITY WORKER,143849.05124771432
721,Germany,Male,28,9,154475.54,2,0,1,1,"Gen Mgr, Public Trnsp Dept",154370.51361980184
628,Germany,Female,30,9,132351.29,2,1,1,0,Child Support Officer III,139556.0637629261
668,Germany,Female,37,6,167864.4,1,1,0,0,Airport Electrician Supervisor,148485.0651870066
506,France,Female,41,1,0.0,2,1,0,0,Personnel Clerk,72447.27272727274
524,Germany,Female,31,8,107818.63,1,1,0,1,Supv Chemist,119209.30088721028
699,Germany,Male,34,4,185173.81,2,1,0,0,Central Processing & Dist Tech,148526.27159613254
828,France,Male,34,8,129433.34,2,0,0,0,Social Work Specialist,163040.0806980309
674,Spain,Male,39,6,120193.42,1,0,0,0,Animal Health Technician,138895.89227649436
656,France,Female,39,6,0.0,2,1,0,0,Regulatory Specialist,107992.72727272726
684,Germany,Female,48,10,126384.42,1,1,1,0,Pub Safety Communication Coord,163940.05007415198
625,France,Female,28,3,0.0,1,0,0,0,Sheet Metal Supervisor 1,90636.36363636365
432,France,Male,42,9,152603.45,1,1,0,1,Utility Plumber Apprentice,130697.3657499382
549,France,Female,52,1,0.0,1,0,1,1,MUSEUM PREPARATOR,78607.27272727272
625,Germany,Male,56,0,148507.24,1,1,0,1,Custodial Assistant Supervisor,118514.15795951257
828,France,Female,41,7,0.0,2,1,0,0,Electrical Inspector,133450.9090909091
770,France,Male,24,9,101827.07,1,1,0,0,PERSONAL PROPERTY AUDITOR,144387.38280912818
758,France,Female,34,3,0.0,2,1,1,0,Piledriver Supervisor 1,108232.72727272726
795,Germany,Female,33,9,130862.43,1,1,1,0,Industrial Hygienist,161694.56186772886
687,France,Male,38,9,122570.87,1,1,1,0,PATIENT ACCOUNTS ASSISTANT SUPERVISOR,150842.6196742778
686,France,Male,25,1,0.0,2,0,1,0,PLANNER IV-ENVIRONMENTAL REVIEW,92592.72727272726
789,Germany,Male,39,7,124828.46,2,1,1,0,Structural Engineer,157349.7745505139
589,Germany,Female,50,5,144895.05,2,1,1,0,SPECIALIST IN AGING II,136057.60824796162
461,Germany,Female,34,5,63663.93,1,0,1,0,SENIOR ESTATE INVESTIGATOR,93999.1962280926
637,France,Male,40,2,133463.1,1,0,1,0,Aquatics Facility Asst Supv,123629.21575615893
584,Spain,Female,48,2,213146.2,1,1,0,1,Emp & Training Spec 4,137779.2510312925
579,Spain,Female,35,1,129490.36,2,0,1,1,Cement Finisher Supervisor 1,111628.2619678191
756,Germany,Male,44,10,137452.09,1,1,0,0,Assistant Sheriff,171590.41922080793
663,France,Male,34,7,0.0,2,1,1,0,Airport Noise Abatement Spec,109196.36363636363
682,France,Female,43,5,125851.93,1,1,1,0,Librarian 3,139481.8008348982
793,Spain,Male,52,2,0.0,1,1,0,1,SENIOR CLERK,112614.54545454546
691,France,Female,31,5,40915.55,1,1,0,1,IS Business Analyst-Senior,114795.49134898846
485,Spain,Female,21,5,113157.22,1,1,1,0,Medical Social Worker,102805.97620984825
635,Spain,Female,29,8,138296.94,2,1,0,0,ASSISTANT HEALTH EDUCATOR,138363.36651774723
650,France,Male,37,5,106967.18,1,0,0,0,CAPTAIN III (POLICE DEPARTMENT),128398.41162383718
735,France,Male,44,9,120681.63,1,1,0,0,COMMERCIAL DIVISION ASSISTANT SUPERVISOR,161059.91599218632
416,France,Male,32,0,0.0,2,0,1,0,Sup Ct Admin Secretary,57920.0
754,Spain,Female,32,7,0.0,2,1,0,0,SENIOR WATER SERVICES CLERK,118843.63636363637
535,France,Female,48,9,0.0,1,1,0,1,Legal Secretary 2,111472.72727272728
716,Spain,Male,42,8,0.0,2,1,0,0,Building Services Technician,124465.45454545454
539,France,Male,37,2,127609.59,1,1,0,0,Automotive Mechanic,109923.9474456813
614,France,Female,43,6,0.0,2,1,1,0,Dep Dir V,105134.54545454546
706,Spain,Male,57,7,0.0,1,1,0,1,Physical Therapist Assistant,128992.72727272728
758,France,Female,33,7,0.0,2,0,0,0,Social Work Supervisor,119960.0
586,Spain,Female,28,2,0.0,2,1,1,0,Payroll Clerk,83410.90909090909
646,France,Female,73,6,97259.25,1,0,1,0,Street Environ Svcs Oprs Supv,148596.84831500528
631,Germany,Female,33,4,123246.7,1,0,0,0,SENIOR SWIMMING INSTRUCTOR,125193.3291911469
717,Spain,Female,22,6,101060.25,1,0,1,0,"ASST. CHIEF, BUREAU OF CLAIMS INVEST. & ADMIN",130207.64113270053
684,France,Male,30,2,0.0,2,1,0,0,ASSISTANT INSPECTOR II (POLICE DEPARTMENT),95534.54545454546
800,France,Female,49,7,108007.36,1,0,0,0,INDUSTRIAL HYGIENIST,161010.79758935372
721,Spain,Female,36,2,0.0,2,1,1,0,LEGISLATION CLERK,101065.45454545454
683,Spain,Male,29,0,133702.89,1,1,0,1,MEDICAL EXAMINER'S INVESTIGATOR II,121933.83208457267
660,Germany,Male,31,9,125189.75,2,1,1,0,AUTOMOTIVE MACHINIST ASSISTANT SUPERVISOR,142501.62831885612
704,Germany,Female,24,7,113034.22,1,1,0,1,Swimming Instr/Pool Lifeguard,134783.8346039947
615,Spain,Female,41,9,109013.23,1,1,0,0,"SENIOR MARRIAGE, FAMILY & CHILD COUNSELOR (MFCC)",141414.97862991452
667,Spain,Female,39,2,0.0,2,1,0,1,IS Manager,95130.90909090909
682,Germany,Male,24,9,57929.81,2,0,0,0,TRANSMISSION AND DISTRIBUTION LINE WORKER,123329.75167929374
484,France,Female,29,4,130114.39,1,1,0,0,Volunteer/Outreach Coord,107741.12943959184
628,Germany,Male,27,5,95826.49,2,1,0,0,ASSOCIATE HUMAN RESOURCES ANALYST,118548.76222540467
480,Germany,Male,44,10,129608.57,1,1,0,1,Sr. Microphoto/Imaging Tech.,136594.7126341217
578,France,Male,30,4,169462.09,1,1,0,0,Principal Personnel Analyst,128794.41097031576
512,France,Male,40,5,0.0,2,1,1,0,Head Airport Electrician,87621.81818181818
484,Spain,Female,35,7,133868.21,1,1,1,0,Museum Sec Supv,120366.09413414897
510,France,Female,30,0,0.0,2,1,1,0,SENIOR COURT STAFF ATTORNEY,69200.0
606,Germany,Male,36,5,190479.48,2,0,0,0,Customer Service Agent Supv,142635.07439969317
597,Spain,Female,40,8,101993.12,1,0,1,0,IS Program Analyst-Assistant,133121.63761339406
754,Germany,Female,55,3,161608.81,1,1,0,1,SENIOR MICROBIOLOGIST,152127.2794591621
850,Spain,Female,45,2,122311.21,1,1,1,0,Planner Technician,147431.43343397096
510,France,Male,65,2,0.0,2,1,1,0,Central Processing & Dist Tech,81018.18181818182
778,Germany,Female,45,1,162150.42,2,1,0,0,MEDIA PRODUCTION SUPERVISOR,144227.70966360375
636,France,Male,42,2,0.0,2,1,1,0,Security Guard,91956.36363636363
804,France,Female,50,4,0.0,1,1,1,1,Animal Care Attendant,122661.81818181818
514,France,Male,32,8,0.0,2,1,0,0,Pr Real Property Appraiser,92952.72727272728
730,France,Female,39,1,99010.67,1,1,0,0,Assistant Const Inspector,122822.95723190386
525,Spain,Female,37,0,0.0,1,0,1,0,SUPERVISING CHEMIST,71000.0
616,Spain,Male,30,5,0.0,2,0,1,0,Traffic Survey Technician,95556.36363636363
687,Germany,Female,34,7,111388.18,2,1,0,0,IS ADMINISTRATOR II,138713.83544812596
715,France,Female,41,8,56214.85,2,0,0,1,SUPERIOR COURT JUDGE,137061.4527494193
512,France,Female,36,3,84327.77,2,1,0,0,COURT ALTERNATIVE SPECIALIST I,99424.4022943919
479,France,Male,40,1,0.0,2,0,0,0,Legislative Asst City Atty Ofc,69116.36363636363
601,France,Male,32,8,93012.89,1,1,0,0,Planner 4,125635.91533366469
580,Spain,Male,29,9,61710.44,2,1,0,0,ASPHALT PLANT SUPERVISOR I,116084.76410554508
807,France,Male,35,3,174790.15,1,1,1,0,Transit Operations Specialist,156184.93177543266
616,Spain,Female,32,6,0.0,2,1,1,0,Sheriff's Property Keeper,99374.54545454546
721,Germany,Male,37,3,107720.64,1,1,1,0,IS Operator-Senior,130371.32201394091
501,France,Male,57,10,0.0,2,1,1,0,Marine Engineer of Fire Boats,119938.18181818182
521,France,Male,35,6,96423.84,1,1,0,0,PRINCIPAL PERSONAL PROPERTY AUDITOR,112669.79487198459
850,Spain,Male,30,2,141040.01,1,1,1,0,Duty Officer,149182.98316405533
759,France,Male,42,4,105420.18,1,0,1,0,Ornamental Iron Worker,139563.0060755671
516,Spain,Male,50,5,0.0,1,0,1,1,BUILDING SERVICES TECHNICIAN,92647.27272727274
711,France,Female,38,2,129022.06,2,1,1,1,MOBILE EQUIPMENT ASSISTANT SUPERVISOR,131083.54500238434
512,Spain,Male,33,3,176666.62,1,1,0,0,"Rep, Human Rights Comm",120688.21799161565
550,France,Male,37,3,0.0,1,1,1,0,Maintenance Planner,84090.90909090909
608,Spain,Female,41,3,89763.84,1,0,0,1,Materials Coordinator,113608.02543752108
618,France,Male,34,5,134954.53,1,1,1,0,ELECTRONIC MAINTENANCE TECHNICIAN ASSISTANT SUPERV,129887.6958798835
643,France,Male,45,5,0.0,1,1,0,1,MENTAL HEALTH TREATMENT SPECIALIST,105614.54545454544
671,France,Male,45,2,106376.85,1,0,1,0,Regulatory Specialist,122140.87592833191
689,Germany,Male,33,2,161814.64,2,1,0,0,SENIOR ENGINEER,135376.5018346692
603,France,Male,31,8,0.0,2,1,1,0,Dental Aide,102905.45454545454
620,France,Female,41,9,0.0,2,0,0,0,Elections Worker,115945.45454545456
676,France,Female,34,1,63095.01,1,1,1,0,AIRPORT NOISE ABATEMENT SPECIALIST,107299.50781240594
572,Germany,Male,26,4,118287.01,2,0,0,0,SENIOR ADMINISTRATIVE ANALYST,114381.80981753841
668,Germany,Male,47,7,106854.21,1,0,1,1,PERSONNEL CLERK,143622.30496504484
695,France,Male,46,7,49512.55,1,1,0,0,Program Specialist,132513.20401768773
730,Spain,Female,33,9,0.0,2,0,0,0,COURT COMMISSIONER,122600.0
807,France,Male,43,1,105799.32,2,1,0,1,Chemist I/II,134050.0376002355
592,France,Male,54,8,0.0,1,1,1,1,GENERAL LABORER SUPERVISOR I,118312.72727272728
726,France,Female,31,9,114722.05,2,1,1,0,Traf Signal Electrician Sup II,147918.3729134443
514,Spain,Male,30,7,0.0,1,0,1,0,CHILD SUPPORT OFFICER II,88770.90909090909
567,France,Male,42,2,0.0,2,1,1,0,Ornamental Iron Wrk Sprv 1,83676.36363636363
850,France,Male,33,10,0.0,1,1,0,1,Elections Worker,140000.0
671,Germany,Male,45,6,99564.22,1,1,1,1,Special Assistant 15,136875.33368801797
670,France,Male,37,4,170557.91,2,1,0,0,Utility Specialist,142641.92091842403
694,France,Female,30,9,0.0,2,1,1,0,Public Health Nurse,115825.45454545454
547,Germany,Female,39,6,74596.15,3,1,1,1,INDUSTRIAL HYGIENIST,112751.71919171717
751,Germany,Male,50,2,96888.39,1,1,0,1,SENIOR EMPLOYEE ASSISTANCE COUNSELOR,130380.88778624313
594,Germany,Female,29,3,130830.22,1,1,0,0,TRAFFIC SIGN MANAGER,118475.95004779538
673,France,Male,72,1,0.0,2,0,1,0,"YOUTH COMMISSION ADVISOR, BOARD OF SUPERVISORS",95305.45454545456
610,France,Male,40,0,0.0,2,1,0,0,ASSISTANT FORENSIC TOXICOLOGIST I,81200.0
512,France,Female,37,1,0.0,2,0,1,0,"Lieutenant, Fire Suppression",72803.63636363635
767,Germany,Male,20,3,119714.25,2,0,1,0,Training Technician,134123.1213038076
585,France,Female,67,5,113978.97,2,0,1,0,Barber,135911.58116972368
763,Germany,Male,42,6,100160.75,1,1,0,1,"SUPERVISOR, TRAFFIC AND STREET SIGNS",146421.62478449824
712,France,Female,29,2,0.0,1,1,1,0,Library Technical Assistant 2,98712.72727272726
539,Germany,Female,43,3,116220.5,3,1,0,1,Testing Technician,112200.34998824351
668,France,Female,46,2,0.0,3,1,0,1,DISTRICT ATTORNEY'S INVESTIGATOR,96523.63636363635
703,France,Male,28,2,81173.83,2,0,1,0,LIBRARY TECHNICAL ASSISTANT II,116862.89345475976
662,Spain,Male,38,4,0.0,2,1,0,0,LEGAL PROCESS CLERK,101258.18181818182
725,Germany,Female,39,5,116803.8,1,1,0,0,Mental Health Hearing Officer,140659.84088671947
703,France,Male,37,8,105961.68,2,0,1,0,ASPHALT PLANT SUPERVISOR I,144608.86451996217
659,Germany,Male,67,6,117411.6,1,1,1,1,CHILD SUPPORT OFFICER II,151703.3725559105
523,Spain,Male,34,7,0.0,2,1,0,0,CONFIDENTIAL SECRETARY TO DISTRICT ATTORNEY,92396.36363636363
635,France,Female,40,10,123497.58,1,1,0,1,SENIOR ENVIRONMENT SPECIALIST,150096.96122872405
772,Germany,Male,26,7,152400.51,2,1,0,0,"Asst Chf, Bur Clm Invest&Admin",153630.65267350725
545,France,Female,26,1,0.0,2,1,1,0,DEPUTY CHIEF III (POLICE DEPARTMENT),75763.63636363635
634,Germany,Male,24,8,103097.85,1,1,1,0,Stationary Engineer,126189.4601252789
739,Germany,Male,54,8,126418.14,1,1,0,1,"Dep Dir for Investments, Ret",166184.47754232876
771,Germany,Female,36,5,77846.9,1,0,0,0,Sen Hospital Eligibility Wrkr,135500.0156274243
587,Spain,Female,34,1,0.0,2,1,1,0,Custodial Assistant Supervisor,81530.90909090909
681,France,Female,79,0,0.0,2,0,1,0,"Captain, Fire Suppression",89720.0
544,Germany,Male,37,2,79731.91,1,1,1,0,COURT REPORTER,99074.43501615265
696,Spain,Male,28,8,0.0,1,0,0,0,COURT COMPUTER SYSTEMS MANAGER,111883.63636363635
766,Spain,Male,41,0,0.0,2,0,1,0,"MARKET RESEARCH SPECIALISTS, PORT",99920.0
727,France,Male,34,10,0.0,2,1,1,0,UTILITY ANALYST,126149.0909090909
671,Germany,Female,34,6,37266.67,2,0,0,0,JUNIOR CLERK TYPIST,115977.44028436551
693,France,Female,30,6,127992.25,1,1,1,0,Transmission Line Supervisor 1,138131.82074638715
850,Germany,Male,38,3,54901.01,1,1,1,0,MANAGER V - MUNICIPAL TRANSPORTATION AGENCY,133492.71438890154
732,Germany,Male,42,9,108748.08,2,1,1,0,CHIEF TELEPHONE OPERATOR,156209.7522332311
726,Spain,Female,48,6,99906.19,1,1,0,0,Apprentice Gardener,145193.47634470015
557,France,Female,32,6,184686.41,2,1,0,0,Chief Stationary Engineer,136460.62340276738
682,France,Female,26,0,110654.02,1,0,1,0,IS ENGINEER - PRINCIPAL,116301.90411413655
738,Spain,Male,31,9,79019.8,1,1,1,0,Watershed Worker (Seasonal),140820.50401217048
531,Spain,Female,36,9,99240.51,1,1,0,0,Cement Mason,124907.01228998449
498,France,Male,34,2,0.0,2,1,1,0,Assistant Retirement Analyst,73941.81818181818
651,France,Male,36,7,0.0,2,1,0,0,SENIOR PUBLIC DEFENDER'S INVESTIGATOR,109029.09090909091
549,Spain,Female,39,7,0.0,1,0,0,1,Prnpl Admin Analyst II,98698.18181818182
791,Germany,Female,35,7,52436.2,1,1,0,0,Junior Management Assistant,137732.36836764356
650,Spain,Male,41,9,0.0,2,0,1,0,PAYROLL SUPERVISOR,119545.45454545454
733,Germany,Male,34,3,100337.96,3,1,0,1,Communications Dispatcher 2,129227.6393105192
811,Germany,Female,34,1,149297.19,2,1,1,0,"LIEUTENANT I, (POLICE DEPARTMENT)",144113.97641995893
707,France,Male,30,8,0.0,2,1,0,0,Senior Personnel Analyst,114658.18181818182
712,Germany,Male,28,4,145605.44,1,0,1,0,PRINCIPAL ACCOUNT CLERK,138442.03702047095
706,Spain,Female,37,7,0.0,2,1,1,0,COMMUNICATION LINE SUPERVISOR I,116265.45454545454
756,France,Male,62,3,0.0,1,1,1,1,Power Plant Supervisor 1,115629.09090909091
777,France,Female,53,10,0.0,2,1,0,0,Recreation Supervisor,149421.81818181818
646,France,Male,35,6,84026.86,1,0,1,0,ADMINISTRATIVE SERVICES MANAGER,124705.16967296453
714,France,Male,46,1,0.0,1,1,0,1,Criminalist I,97861.81818181818
782,France,Male,39,8,0.0,2,1,1,0,Janitorial Services Supervisor,130203.63636363637
775,Spain,Male,29,10,0.0,2,1,1,0,RESPIRATORY CARE PRACTITIONER,127363.63636363637
479,Germany,Male,35,4,138718.92,1,1,1,1,ADMINISTRATIVE ANALYST III,111380.64283941666
807,France,Male,42,7,118274.71,1,1,1,0,Social Work Specialist,159851.59565695305
799,France,Female,22,8,174185.98,2,0,1,0,"INSPECTOR, BUREAU OF FIRE PREVENTION AND PUBLIC SA",161534.9954605075
675,France,Male,40,7,113208.86,2,1,0,0,REHABILITATION SERVICES COORDINATOR,141527.4163560338
602,Spain,Male,29,5,103907.28,1,1,0,0,"ADMINISTRATOR, SFGH MEDICAL CENTER",118270.30068720513
475,France,Female,32,8,119023.28,1,1,0,0,CITY SHOPS ASSISTANT SUPERINTENDENT,116736.0639206866
